ip1_1;ip1_2;ip1_3;ip1_4;ip1_port;ip2_1;ip2_2;ip2_3;ip2_4;ip2_port;anomaly
219;196;206;31;21457;192;168;0;102;80;20
219;196;206;31;36961;192;168;0;102;80;20
219;196;206;31;6595;192;168;0;102;80;20
219;196;206;31;23024;192;168;0;102;80;20
219;196;206;31;34;192;168;0;102;80;20
219;196;206;31;54088;192;168;0;102;80;20
219;196;206;31;64968;192;168;0;102;80;20
219;196;206;31;38672;192;168;0;102;80;20
219;196;206;31;34381;192;168;0;102;80;20
219;196;206;31;11433;192;168;0;102;80;20
219;196;206;31;32643;192;168;0;102;80;20
219;196;206;31;9887;192;168;0;102;80;20
219;196;206;31;42372;192;168;0;102;80;20
219;196;206;31;1656;192;168;0;102;80;20
219;196;206;31;53632;192;168;0;102;80;20
219;196;206;31;12261;192;168;0;102;80;20
219;196;206;31;20425;192;168;0;102;80;20
219;196;206;31;26070;192;168;0;102;80;20
219;196;206;31;6025;192;168;0;102;80;20
219;196;206;31;48580;192;168;0;102;80;20
219;196;206;31;14203;192;168;0;102;80;20
219;196;206;31;58150;192;168;0;102;80;20
219;196;206;31;10519;192;168;0;102;80;20
219;196;206;31;7523;192;168;0;102;80;20
219;196;206;31;10082;192;168;0;102;80;20
219;196;206;31;29369;192;168;0;102;80;20
219;196;206;31;6930;192;168;0;102;80;20
219;196;206;31;45661;192;168;0;102;80;20
219;196;206;31;38670;192;168;0;102;80;20
219;196;206;31;31295;192;168;0;102;80;20
219;196;206;31;62410;192;168;0;102;80;20
219;196;206;31;20018;192;168;0;102;80;20
219;196;206;31;14208;192;168;0;102;80;20
219;196;206;31;57443;192;168;0;102;80;20
219;196;206;31;8414;192;168;0;102;80;20
219;196;206;31;57706;192;168;0;102;80;20
219;196;206;31;9143;192;168;0;102;80;20
219;196;206;31;27665;192;168;0;102;80;20
219;196;206;31;8456;192;168;0;102;80;20
219;196;206;31;64811;192;168;0;102;80;20
219;196;206;31;28053;192;168;0;102;80;20
219;196;206;31;27322;192;168;0;102;80;20
219;196;206;31;24013;192;168;0;102;80;20
219;196;206;31;44983;192;168;0;102;80;20
219;196;206;31;42626;192;168;0;102;80;20
219;196;206;31;56575;192;168;0;102;80;20
219;196;206;31;42834;192;168;0;102;80;20
219;196;206;31;59859;192;168;0;102;80;20
219;196;206;31;51079;192;168;0;102;80;20
219;196;206;31;40205;192;168;0;102;80;20
219;196;206;31;57189;192;168;0;102;80;20
219;196;206;31;3080;192;168;0;102;80;20
219;196;206;31;930;192;168;0;102;80;20
219;196;206;31;6442;192;168;0;102;80;20
219;196;206;31;24044;192;168;0;102;80;20
219;196;206;31;62535;192;168;0;102;80;20
219;196;206;31;34093;192;168;0;102;80;20
219;196;206;31;8320;192;168;0;102;80;20
219;196;206;31;60760;192;168;0;102;80;20
219;196;206;31;281;192;168;0;102;80;20
219;196;206;31;7882;192;168;0;102;80;20
219;196;206;31;35589;192;168;0;102;80;20
219;196;206;31;46535;192;168;0;102;80;20
219;196;206;31;9942;192;168;0;102;80;20
219;196;206;31;59186;192;168;0;102;80;20
219;196;206;31;54441;192;168;0;102;80;20
219;196;206;31;20705;192;168;0;102;80;20
219;196;206;31;35263;192;168;0;102;80;20
219;196;206;31;44464;192;168;0;102;80;20
219;196;206;31;31605;192;168;0;102;80;20
219;196;206;31;9844;192;168;0;102;80;20
219;196;206;31;48244;192;168;0;102;80;20
219;196;206;31;17467;192;168;0;102;80;20
219;196;206;31;32724;192;168;0;102;80;20
219;196;206;31;48052;192;168;0;102;80;20
219;196;206;31;5128;192;168;0;102;80;20
219;196;206;31;54780;192;168;0;102;80;20
219;196;206;31;65237;192;168;0;102;80;20
219;196;206;31;12332;192;168;0;102;80;20
219;196;206;31;60648;192;168;0;102;80;20
219;196;206;31;34697;192;168;0;102;80;20
219;196;206;31;33939;192;168;0;102;80;20
219;196;206;31;64878;192;168;0;102;80;20
219;196;206;31;873;192;168;0;102;80;20
