12:24:06.413793, IP, 162.159.137.234.443, >, 192.168.0.102.50265:, Flags, [.],, ack, 172,, win, 68,, length, 0, 
12:24:06.417557, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 320, 
12:24:06.434669, IP, 192.168.0.102.49260, >, 188.122.66.119.50001:, UDP,, length, 43, 
12:24:06.437477, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 323, 
12:24:06.452228, IP, 192.168.0.102.49260, >, 188.122.66.119.50001:, UDP,, length, 43, 
12:24:06.457227, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 322, 
12:24:06.474961, IP, 192.168.0.102.49260, >, 188.122.66.119.50001:, UDP,, length, 43, 
12:24:06.477290, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 318, 
12:24:06.497657, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 330, 
12:24:06.497658, IP, 192.168.0.102.49260, >, 188.122.66.119.50001:, UDP,, length, 43, 
12:24:06.514455, IP, 192.168.0.102.49260, >, 188.122.66.119.50001:, UDP,, length, 43, 
12:24:06.517607, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 329, 
12:24:06.537138, IP, 192.168.0.102.49260, >, 188.122.66.119.50001:, UDP,, length, 43, 
12:24:06.537295, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 344, 
12:24:06.554446, IP, 192.168.0.102.49260, >, 188.122.66.119.50001:, UDP,, length, 43, 
12:24:06.557828, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 349, 
12:24:06.576683, IP, 192.168.0.102.49260, >, 188.122.66.119.50001:, UDP,, length, 43, 
12:24:06.577395, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 340, 
12:24:06.597368, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 333, 
12:24:06.626351, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 334, 
12:24:06.637731, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 340, 
12:24:06.657543, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 331, 
12:24:06.677607, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 321, 
12:24:06.697880, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 316, 
12:24:06.717793, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 346, 
12:24:06.737584, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 342, 
12:24:06.757740, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 338, 
12:24:06.777487, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 333, 
12:24:06.797752, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 329, 
12:24:06.817968, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 321, 
12:24:06.838417, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 319, 
12:24:06.857598, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 322, 
12:24:06.877847, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 320, 
12:24:06.897743, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 320, 
12:24:06.917882, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 324, 
12:24:06.937499, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 329, 
12:24:06.958073, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 335, 
12:24:06.969606, IP, 192.168.0.102.49260, >, 188.122.66.119.50001:, UDP,, length, 60, 
12:24:06.977693, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 550, 
12:24:06.997967, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 342, 
12:24:07.018027, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 345, 
12:24:07.029403, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 193, 
12:24:07.033962, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 52, 
12:24:07.037686, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 330, 
12:24:07.046119, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 196, 
12:24:07.057729, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 320, 
12:24:07.073833, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 205, 
12:24:07.078254, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 317, 
12:24:07.089531, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 192, 
12:24:07.097766, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 321, 
12:24:07.111747, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 214, 
12:24:07.116761, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 318, 
12:24:07.129585, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 219, 
12:24:07.137668, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 318, 
