192;168;0;102;49185;192;168;8;136;7680;
192;168;0;105;46967;192;168;0;1;53;
192;168;0;1;53;192;168;0;105;46967;
192;168;0;105;46967;192;168;0;1;53;
192;168;0;1;53;192;168;0;105;46967;
192;168;0;105;53724;40;77;226;250;443;
40;77;226;250;443;192;168;0;105;53724;
192;168;0;105;53724;40;77;226;250;443;
192;168;0;105;53724;40;77;226;250;443;
40;77;226;250;443;192;168;0;105;53724;
192;168;0;105;53724;40;77;226;250;443;
192;168;0;105;53724;40;77;226;250;443;
40;77;226;250;443;192;168;0;105;53724;
192;168;0;105;53724;40;77;226;250;443;
192;168;0;105;53724;40;77;226;250;443;
40;77;226;250;443;192;168;0;105;53724;
40;77;226;250;443;192;168;0;105;53724;
192;168;0;105;53724;40;77;226;250;443;
192;168;0;105;53724;40;77;226;250;443;
40;77;226;250;443;192;168;0;105;53724;
192;168;0;102;49185;192;168;8;136;7680;
192;168;0;102;49185;192;168;8;136;7680;
